features,feature_count,cv_auc
"fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_final_cosine, diagnose_top_peaks",4,0.8397215397215397
"fragments_fit_score, fragments_correlation, diagnose_raw_cosine, diagnose_area_covered",4,0.8394758394758395
"fragments_fit_score, fragments_css, diagnose_raw_cosine, diagnose_isodec_css",4,0.8394758394758395
"fragments_fit_score, diagnose_raw_cosine, diagnose_isodec_css",3,0.8394348894348894
"fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine",3,0.8394348894348894
"fragments_fit_score, fragments_rawcos, diagnose_raw_cosine, diagnose_isodec_css",4,0.8394348894348894
"fragments_fit_score, fragments_unexplained, diagnose_raw_cosine, diagnose_isodec_css",4,0.8394348894348894
"fragments_score, fragments_rawcos, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.8394348894348894
"fragments_score, fragments_pc_missing_peaks, fragments_css, diagnose_raw_cosine",4,0.8393939393939394
"fragments_score, fragments_pc_missing_peaks, fragments_unexplained, diagnose_raw_cosine",4,0.8393939393939394
"fragments_coverage, diagnose_raw_cosine, diagnose_top_peaks",3,0.8393120393120393
"fragments_coverage, fragments_unexplained, diagnose_raw_cosine, diagnose_top_peaks",4,0.8393120393120393
"fragments_rawcos, fragments_coverage, diagnose_raw_cosine, diagnose_top_peaks",4,0.8393120393120393
"fragments_fit_score, diagnose_raw_cosine, diagnose_isodec_css, diagnose_area_covered",4,0.8391072891072892
"fragments_fit_score, fragments_correlation, diagnose_raw_cosine, diagnose_final_cosine",4,0.8389434889434889
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_area_covered, diagnose_top_peaks",4,0.8388615888615889
"fragments_score, fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine",4,0.8386977886977887
"fragments_fit_score, fragments_css, diagnose_raw_cosine, diagnose_area_covered",4,0.8386568386568387
"fragments_fit_score, fragments_rawcos, diagnose_raw_cosine, diagnose_area_covered",4,0.8386568386568387
"fragments_fit_score, fragments_unexplained, diagnose_raw_cosine, diagnose_area_covered",4,0.8386568386568387
"fragments_fit_score, diagnose_raw_cosine, diagnose_area_covered",3,0.8386158886158886
"fragments_fit_score, diagnose_raw_cosine",2,0.8385749385749386
"fragments_fit_score, fragments_css, diagnose_raw_cosine",3,0.8385749385749386
"fragments_fit_score, fragments_rawcos, diagnose_raw_cosine",3,0.8385749385749386
"fragments_fit_score, fragments_unexplained, diagnose_raw_cosine",3,0.8385749385749386
"fragments_fit_score, fragments_css, fragments_unexplained, diagnose_raw_cosine",4,0.8385749385749386
"fragments_fit_score, fragments_rawcos, fragments_css, diagnose_raw_cosine",4,0.8385749385749386
"fragments_fit_score, fragments_rawcos, fragments_unexplained, diagnose_raw_cosine",4,0.8385749385749386
"fragments_fit_score, fragments_score, diagnose_raw_cosine, diagnose_area_covered",4,0.8385339885339885
"fragments_score, fragments_coverage, diagnose_raw_cosine, diagnose_top_peaks",4,0.8384520884520884
