frag_id,ion_type,series,frag_len,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,obs_idx,obs_mz,obs_int,obs_rel_int,anchor_theory_mz,anchor_ppm,css,rawcos,cos0,w0,w_plusH,w_plus2H,w_minusH,w_minus2H,label
z-dot35-2NH3,z-dot,z,35,1,0,0,0,0,0,1,cys-specific,-Thiol,1,100.0,0.0,37809,3625.743994197697,16.46,4.832648267762772e-06,3625.724387,5.407801477378762,0.9437145001441649,0.3797245353225567,0.7713880387386546,0.0,1.0,0.0,0.0,0.0,z-dot35-2NH3^1+ | 5.4 ppm | css=0.944 | %H=100 | %2H=0 | +mix
c36-OxidizedLoop-H2O,c,c,36,2,1,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,100.0,20777,1862.908914846995,246.2,7.228420434527304e-05,1862.912683,-2.022721214686265,0.9422282128000532,0.4285934570174616,0.7235094850180682,0.0,0.0,1.0,0.0,0.0,c36-OxidizedLoop-H2O^2+ | -2.0 ppm | css=0.942 | %H=0 | %2H=100 | +mix
y35-Persulfide-CO2,y,y,35,1,0,0,0,1,0,0,cys-specific,-Persulfide,2,0.0,0.0,37938,3662.792934129123,13.05,3.831473869641809e-06,3662.771174,5.940892315995798,0.9411330303864546,0.829625224794285,0.829625224794285,1.0,0.0,0.0,0.0,0.0,y35-Persulfide-CO2^1+ | 5.9 ppm | css=0.941
z-dot28,z-dot,z,28,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,35626,2995.5165373536047,28.64,8.408690546095127e-06,2995.497533,6.344306211280336,0.9400517008138891,0.9302490385384421,0.9302490385384421,1.0,0.0,0.0,0.0,0.0,z-dot28^1+ | 6.3 ppm | css=0.940
c35-OxidizedLoop,c,c,35,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,37862,3639.7478155294734,55.95,1.6426893716970053e-05,3639.766423,-5.11227050423387,0.9392222136544698,0.9504925216177261,0.9504925216177261,1.0,0.0,0.0,0.0,0.0,c35-OxidizedLoop^1+ | -5.1 ppm | css=0.939
z-dot23-CO2,z-dot,z,23,1,0,0,0,1,0,0,nonmodified,,1,0.0,100.0,29994,2370.1700091104485,23.12,6.7880211391661775e-06,2370.195163,-10.61258158991006,0.9385908192133293,0.26037527462632915,0.39174837461713913,0.0,0.0,1.0,0.0,0.0,z-dot23-CO2^1+ | -10.6 ppm | css=0.939 | %H=0 | %2H=100 | +mix
c36-OxidizedLoop-2H2O,c,c,36,1,0,0,0,0,1,0,ss-specific,-OxidizedLoop,1,52.91564948474132,47.08435051525868,38156,3705.8310410390186,23.98,7.040516735173224e-06,3705.800249,8.309146999225218,0.9368615077603808,0.5716210133009813,0.82873307977667,0.0,0.5291564948474132,0.47084350515258677,0.0,0.0,c36-OxidizedLoop-2H2O^1+ | 8.3 ppm | css=0.937 | %H=53 | %2H=47 | +mix
y34-ThiylRadical-2NH3,y,y,34,2,0,0,0,0,0,1,cys-specific,-ThiylRadical,1,0.0,0.0,18982,1763.366049826629,485.1,0.0001424251321197886,1763.346179,11.268817697724762,0.9360538853277262,0.9353411467078467,0.9353411467078467,1.0,0.0,0.0,0.0,0.0,y34-ThiylRadical-2NH3^2+ | 11.3 ppm | css=0.936
c29-OxidizedLoop-2NH3,c,c,29,1,0,0,0,0,0,1,ss-specific,-OxidizedLoop,1,0.0,100.0,35762,3034.4362732613254,16.1,4.726952436876101e-06,3034.469139,-10.830803402164808,0.93444203688002,0.4200242347900813,0.48940772317218645,0.0,0.0,1.0,0.0,0.0,c29-OxidizedLoop-2NH3^1+ | -10.8 ppm | css=0.934 | %H=0 | %2H=100 | +mix
c36-OxidizedLoop,c,c,36,1,0,0,0,0,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,38375,3740.8261951691125,64.05,1.880504991192014e-05,3740.814102,3.2327639874341947,0.9338287638263015,0.9315851333050855,0.9315851333050855,1.0,0.0,0.0,0.0,0.0,c36-OxidizedLoop^1+ | 3.2 ppm | css=0.934
z-dot28-NH3,z-dot,z,28,1,0,1,0,0,0,0,nonmodified,,1,0.0,0.0,35556,2978.4156882289044,21.62,6.34762184380505e-06,2978.470984,-18.565153527660968,0.9316672707238086,0.7213236721394648,0.7213236721394648,1.0,0.0,0.0,0.0,0.0,z-dot28-NH3^1+ | -18.6 ppm | css=0.932
c36-OxidizedLoop-CO2,c,c,36,2,0,0,0,1,0,0,ss-specific,-OxidizedLoop,1,0.0,100.0,20484,1849.9065378309272,559.9,0.00016438637698179683,1849.923051,-8.926408622183862,0.9312481749437947,0.414894018921323,0.6860191126926131,0.0,0.0,1.0,0.0,0.0,c36-OxidizedLoop-CO2^2+ | -8.9 ppm | css=0.931 | %H=0 | %2H=100 | +mix
c17-OxidizedLoop-CO2,c,c,17,1,0,0,0,1,0,0,ss-specific,-OxidizedLoop,1,0.0,0.0,19692,1806.9403269233276,69.38,2.0369935408103346e-05,1806.946555,-3.4467409427138906,0.9302594527396473,0.9632537452774036,0.9632537452774036,1.0,0.0,0.0,0.0,0.0,c17-OxidizedLoop-CO2^1+ | -3.4 ppm | css=0.930
y8,y,y,8,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,2293,854.4030917862138,90.34,2.65237815619495e-05,854.400272,3.300310529251325,0.9283850205458852,0.9687437199051299,0.9687437199051299,1.0,0.0,0.0,0.0,0.0,y8^1+ | 3.3 ppm | css=0.928
